제품명,중량(g),열량(kcal),당류(g),단백질(g),포화지방(g),나트륨(mg)
NBB어메이징,282,725,9,32,15,"1,433"
NBB시그니처,213,531,9,21,9,"1,138"
NBB오리지널,189,439,8,17,6,642
스모키살사,215,450,10,19,7,"1,019"
미트마니아,305,749,9,37,13,"1,796"
그릴드불고기,164,426,12,16,5,699
갈릭앤갈릭,175,486,6,16,6,733
메가바이트,216,657,7,19,7,989
더블치즈베이컨시그니처,228,551,7,25,9,"1,485"
스리라차치킨,218,520,18,25,5,"1,126"
코울슬로치킨,218,556,13,24,6,"1,325"
콰트로맥앤치즈,223,628,6,24,12,"1,279"
투머치베이컨,261,613,9,34,10,"1,868"
차플레핫치킨,195,459,11,18,4,"1,147"
볼로네제미트,205,490,9,27,7,"1,352"
감자튀김 M,90,209,1,3,2,281
감자튀김 L,135,313,1,5,2,422
어니언 도넛,108,348,4,4,2,536
NBB치킨너겟 3조각,60,134,1,10,1,397
NBB치킨너겟 5조각,100,223,2,17,1,662
크런치 오징어,54,136,1,8,1,364
크런치 윙 2조각,70,187,0,13,2,432
크런치 윙 4조각,140,373,1,26,4,865
인절미 치즈볼,102,370,8,10,5,385
슈가버터 프라이,145,397,22,6,6,369
크리스피 상하이포크 S,110,368,0,13,5,460
크리스피 상하이포크 L,440,"1,473",1,51,19,"1,840"
페퍼로니 치아바타,182,540,5,22,10,"1,220"
베러버거,175,440,7,13,6,"1,062"
베러샐러드,212,127,8,3,2,658
치킨시저샐러드,235,285,2,14,3,608
상하이 포크샐러드,230,277,5,9,4,706
그린샐러드,175,90,5,2,2,298
그린샐러드 미니,100,73,5,1,1,281
에그프라이,41,74,0,4,1,209
아메리칸 치즈,12,45,1,2,2,220
스위스 치즈,12,42,0,4,2,175
베이컨,14,38,0,4,1,198
케첩(1회용),9,11,3,0,0,106
허니머스타드소스(1회용),12,34,3,0,0,78
스윗스파이시 소스,25,42,9,0,0,133
렌치소스,50,130,3,1,2,289
펩시콜라,420,129,31,0,0,9
사이다,420,129,31,0,0,9
미란다,420,149,40,0,0,32
펩시제로슈가(라임향),420,0,0,0,0,49
청귤라임에이드,567,227,56,0,0,38
오렌지쥬스,420,139,35,0,0,17
아메리카노,355,17,0,1,0,3
아이스아메리카노,567,17,0,1,0,3
브랜드콜라,355,160,40,0,0,25
브랜드사이다,355,152,38,0,0,5
브랜드콜라 제로,355,0,0,0,0,25
브랜드사이다 제로,355,0,0,0,0,5
오렌지주스(PET),350,132,26,2,0,95
