제품명,열량 (kcal),단백질 (g),나트륨 (mg),당류 (g),포화지방 (g),중량 (g/ml)
BLT풍치킨버거,642,28(52),1217(61),3.0,6(43),269
BLT통다리치킨버거,911,34(62),1435(72),11.1,11(76),314
더블와퍼,842,45(82),1198(60),10.5,20.2(134.7),360
더콰트로치즈X,879,41(74),1643(82),6.1,23(155),350
더콰트로치즈,834,42(78),1133(57),4.0,23(156),314
디아블로킹치킨버거,462,20(36),923(46),5.4,5(37),178
롱치킨디럭스,579,25(45),1100(55),7.7,5.5(37),254
롱치킨버거,571,25(45),1100(55),5.7,5.5(37),210
메가몬스터X,1420,60(109),2319(116),16.9,28(188),523
몬스터와퍼,1055,52(94),1881(94),16.9,23.1(153.7),417
몬스터X,1140,51(93),2222(111),18.6,27.6(183.7),407
베이컨치즈와퍼,780,37(67),1368(68),7.5,19(124),315
불고기통치킨버거,712,26(47),805(40),2.7,11(71),233
불고기버거,371,17(31),432(22),9.9,8(51),140
불고기와퍼,682,28(52),912(46),5.7,14(96),278
불고기와퍼주니어,380,18(33),523(26),3.6,8(51),158
아기상어새우버거,474,14(26),1226(61),6.5,6(38),178
아빠상어새우버거,594,24(44),1261(63),6.6,9(63),249
엄마상어새우버거,459,15(27),1257(63),7.8,5(34),217
와퍼,619,29(53),809(40),10.5,13(84),278
와퍼주니어,399,17(32),570(29),4.6,8(51),158
치즈버거,366,19(35),752(38),5.9,9(57),133
치즈와퍼,716,33(59),1288(64),7.1,16(108),303
치즈와퍼주니어,438,19(35),771(39),4.8,10(65),170
콰트로치즈와퍼,769,40(73),1051(53),6.2,20(131),309
콰트로치즈와퍼주니어,446,21(39),631(32),3.1,10(64),173
킹치킨버거,532,20(36),714(36),2.7,7(47),178
통다리치킨버거,821,29(53),1287(64),10.1,10(67),260
통모짜X,1033,46(84),1529(76),16.7,20(133),399
통모짜와퍼,1058,51(92),1465(73),15.3,21(141),401
통모짜와퍼주니어,699,30(55),1013(51),10.4,14(90),257
통새우스테이크버거,851,33(61),1565(78),9.8,22(145),345
통새우와퍼,741,34(63),984(49),4.8,15(99),328
통새우와퍼주니어,381,21(37),522(26),5.0,7.3(48.9),162
트러플머쉬룸와퍼,738,29(53),1254(63),8,12(80),331
트러플머쉬룸와퍼주니어,404,16(29),554(28),7.2,7(47),172
트러플머쉬룸X,776,33(60),1311(66),14.7,14(94),316
트러플토모찌와퍼,1088,51(92),1221(61),12.8,23(153),401
허니칠리킹치킨버거,477,20(36),751(38),5.3,6(37),178
스테이크패티 추가,309,19(34),425(21),0.7,11.1(73.8),98
와퍼패터 추가,223,16(29),389(19),0,7(48),82
버거패티 추가,114,8(15),199(10),0,3.7(24.8),42
치즈 1장 추가,41,3(5),197(10),0,2.2(14.7),12
베이컨 2장 추가,26,2(3),50(2),0,0.7(4.7),6
베이컨 4장 추가,53,3(6),100(5),0,1.5(9.5),12
스위트칠리소스,50,0(0),205(10),10.2,0(0),25
까망베르치즈소스[pouch],133,1(2),280(14),1.2,2.3(15.1),25
디아블로소스[pouch],39,0(1),293(15),7.4,0(0.1),25
케찹[pouch],11,0(0),107(5),2.3,0(0),10
허니머스타드[pouch],32,0(0),60(3),3.1,0(0),11
할라피뇨 2개 추가,3,0.04(0),54(3),0.5,0(0),10
할라피뇨 4개 추가,6,0.08(0),108(6),1.0,0(0),20
21치즈스틱,155,5(9),251(13),1.5,3(20),49
너겟킹((4조각),139,6(10),289(14),0.4,2(13.5),78
너겟킹(6조각),210,8(15),434(22),0.6,3(20.3),117
너겟킹(10조각),347,14(25),723(36),1,5(33.6),195
바삭킹(2조각),272,15(27),497(25),1.7,5.0(33.4),99
바삭킹(4조각),544,29(54),993(50),3.4,10.0(66.9),198
바삭킹(8조각),1088,59(107),1986(99),6.7,20.1(133.8),396
어니언링,332,5(8),476(24),2.5,3(23),91
치즈프라이,440,12(21),447(22),1.8,8(51),139
코울슬로,130,1(2),218(11),13.2,0.9(5.7),95
코코넛쉬림프(3조각),81,6(11),177(9),1.7,0.9(5.7),57
코코넛쉬림프(6조각),162,12(22),353(18),3.4,1.7(11.4),114
코코넛쉬림프(9조각),243,18(33),531(27),5.1,2.6(17.1),171
콘샐러드,189,2(4),226(11),5.3,1(9),105
크리미모짜볼(5조각),198,7(13),124(6),4.0,1(4),70
크리미모짜볼(10조각),395,14(25),248(12),9.0,1(9),140
트러플프라이,445,10(19),496(25),0.3,9(61),146
프랜치프라이(L),377,5(8),432(22),0.4,4(27),135
프랜치프라이(R),285,4(6),326(16),0.3,3(21),102
해쉬브라운,169,2(3),263(13),0.0,3(18),57
미닛메이드 오렌지(350ml PET),172,0(0),11(1),36.0,0(0),350
스프라이트(L),237,0(0),32(2),60.0,0(0),538
스프라이트(R),165,0(0),23(1),42.1,0(0),376
씨그램,0,0(0),11(1),0.0,0(0),376
제로톡톡 복숭아,0,0(0),10(0),0.0,0(0),330
제로톡톡 청포도,0,0(0),10(0),0.0,0(0),330
제로톡톡 체리,0,0(0),10(0),0.0,0(0),330
코카콜라(L),215,0(0),22(1),55.9,0(0),538
코카콜라(R),150,0(0),15(1),39.1,0(0),376
코카콜라 제로(L),0,0(0),43(2),0,0(0),538
코카콜라 제로(R),0,0(0),30(2),0,0(0),376
아메리카노,6,0(0),0(0),0,0(0),227
