restaurant,item,calories,sodium,sugar,total_fat,protein
McDonalds,Artisan Grilled Chicken Sandwich,380.0,1110.0,11.0,7.0,37.0
McDonalds,Single Bacon Smokehouse Burger,840.0,1580.0,18.0,45.0,46.0
McDonalds,Double Bacon Smokehouse Burger,1130.0,1920.0,18.0,67.0,70.0
McDonalds,Grilled Bacon Smokehouse Chicken Sandwich,750.0,1940.0,18.0,31.0,55.0
McDonalds,Crispy Bacon Smokehouse Chicken Sandwich,920.0,1980.0,18.0,45.0,46.0
McDonalds,Big Mac,540.0,950.0,9.0,28.0,25.0
McDonalds,Cheeseburger,300.0,680.0,7.0,12.0,15.0
McDonalds,Classic Chicken Sandwich,510.0,1040.0,6.0,24.0,25.0
McDonalds,Double Cheeseburger,430.0,1040.0,7.0,21.0,25.0
McDonalds,Double Quarter Pounder® with Cheese,770.0,1290.0,10.0,45.0,51.0
McDonalds,Filet-O-Fish®,380.0,640.0,5.0,18.0,15.0
McDonalds,Garlic White Cheddar Burger,620.0,790.0,11.0,34.0,32.0
McDonalds,Grilled Garlic White Cheddar Chicken Sandwich,530.0,1150.0,11.0,20.0,42.0
McDonalds,Crispy Garlic White Cheddar Chicken Sandwich,700.0,1190.0,11.0,34.0,33.0
McDonalds,Hamburger,250.0,480.0,6.0,8.0,13.0
McDonalds,Lobster Roll,290.0,630.0,3.0,5.0,24.0
McDonalds,Maple Bacon Dijon 1/4 lb Burger,640.0,1260.0,10.0,36.0,37.0
McDonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580.0,1890.0,14.0,21.0,48.0
McDonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740.0,1780.0,14.0,35.0,39.0
McDonalds,McChicken,350.0,600.0,5.0,15.0,15.0
McDonalds,McDouble,380.0,840.0,7.0,18.0,23.0
McDonalds,McRib,480.0,870.0,12.0,22.0,25.0
McDonalds,Pico Guacamole 1/4 lb Burger,580.0,920.0,7.0,33.0,29.0
McDonalds,Grilled Pico Guacamole Chicken Sandwich,520.0,1540.0,12.0,18.0,40.0
McDonalds,Crispy Pico Guacamole Chicken Sandwich,680.0,1430.0,12.0,32.0,31.0
McDonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570.0,1050.0,11.0,23.0,28.0
McDonalds,Premium Crispy Chicken Deluxe Sandwich,530.0,1000.0,13.0,22.0,25.0
McDonalds,Quarter Pounder® with Cheese,530.0,1090.0,10.0,27.0,31.0
McDonalds,Signature Sriracha Burger,670.0,1010.0,13.0,35.0,32.0
McDonalds,Grilled Signature Sriracha Chicken Sandwich,560.0,1550.0,14.0,20.0,41.0
McDonalds,Crispy Signature Sriracha Chicken Sandwich,730.0,1430.0,13.0,33.0,32.0
McDonalds,Sweet BBQ Bacon 1/4 lb Burger,690.0,1310.0,14.0,37.0,38.0
McDonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630.0,1930.0,18.0,22.0,48.0
