restaurant,item,calories,sodium,sugar,total_fat,protein
Mcdonalds,Artisan Grilled Chicken Sandwich,380,1110,11,7,37
Mcdonalds,Single Bacon Smokehouse Burger,840,1580,18,45,46
Mcdonalds,Double Bacon Smokehouse Burger,1130,1920,18,67,70
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,1940,18,31,55
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,1980,18,45,46
Mcdonalds,Big Mac,540,950,9,28,25
Mcdonalds,Cheeseburger,300,680,7,12,15
Mcdonalds,Classic Chicken Sandwich,510,1040,6,24,25
Mcdonalds,Double Cheeseburger,430,1040,7,21,25
Mcdonalds,Double Quarter Pounder® with Cheese,770,1290,10,45,51
Mcdonalds,Filet-O-Fish®,380,640,5,18,15
Mcdonalds,Garlic White Cheddar Burger,620,790,11,34,32
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,1150,11,20,42
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,1190,11,34,33
Mcdonalds,Hamburger,250,480,6,8,13
Mcdonalds,Lobster Roll,290,630,3,5,24
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,1260,10,36,37
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,1890,14,21,48
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,1780,14,35,39
Mcdonalds,McChicken,350,600,5,15,15
Mcdonalds,McDouble,380,840,7,18,23
Mcdonalds,McRib,480,870,12,22,25
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,920,7,33,29
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,1540,12,18,40
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,1430,12,32,31
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,1050,11,23,28
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,1000,13,22,25
Mcdonalds,Quarter Pounder® with Cheese,530,1090,10,27,31
Mcdonalds,Signature Sriracha Burger,670,1010,13,35,32
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,1550,14,20,41
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,1430,13,33,32
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,1310,14,37,38
