,restaurant,item,calories,sodium,sugar,total_fat,protein
0,McDonalds,Artisan Grilled Chicken Sandwich,380.0,1110.0,11.0,7.0,37.0
1,McDonalds,Single Bacon Smokehouse Burger,840.0,1580.0,18.0,45.0,46.0
2,McDonalds,Double Bacon Smokehouse Burger,1130.0,1920.0,18.0,67.0,70.0
3,McDonalds,Grilled Bacon Smokehouse Chicken Sandwich,750.0,1940.0,18.0,31.0,55.0
4,McDonalds,Crispy Bacon Smokehouse Chicken Sandwich,920.0,1980.0,18.0,45.0,46.0
5,McDonalds,Big Mac,540.0,950.0,9.0,28.0,25.0
6,McDonalds,Cheeseburger,300.0,680.0,7.0,12.0,15.0
7,McDonalds,Classic Chicken Sandwich,510.0,1040.0,6.0,24.0,25.0
8,McDonalds,Double Cheeseburger,430.0,1040.0,7.0,21.0,25.0
9,McDonalds,Double Quarter PounderÂ® with Cheese,770.0,1290.0,10.0,45.0,51.0
10,McDonalds,Filet-O-FishÂ®,380.0,640.0,5.0,18.0,15.0
11,McDonalds,Garlic White Cheddar Burger,620.0,790.0,11.0,34.0,32.0
12,McDonalds,Grilled Garlic White Cheddar Chicken Sandwich,530.0,1150.0,11.0,20.0,42.0
13,McDonalds,Crispy Garlic White Cheddar Chicken Sandwich,700.0,1190.0,11.0,34.0,33.0
14,McDonalds,Hamburger,250.0,480.0,6.0,8.0,13.0
15,McDonalds,Lobster Roll,290.0,630.0,3.0,5.0,24.0
16,McDonalds,Maple Bacon Dijon 1/4 lb Burger,640.0,1260.0,10.0,36.0,37.0
17,McDonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580.0,1890.0,14.0,21.0,48.0
18,McDonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740.0,1780.0,14.0,35.0,39.0
19,McDonalds,McChicken,350.0,600.0,5.0,15.0,15.0
20,McDonalds,McDouble,380.0,840.0,7.0,18.0,23.0
21,McDonalds,McRib,480.0,870.0,12.0,22.0,25.0
22,McDonalds,Pico Guacamole 1/4 lb Burger,580.0,920.0,7.0,33.0,29.0
23,McDonalds,Grilled Pico Guacamole Chicken Sandwich,520.0,1540.0,12.0,18.0,40.0
24,McDonalds,Crispy Pico Guacamole Chicken Sandwich,680.0,1430.0,12.0,32.0,31.0
25,McDonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570.0,1050.0,11.0,23.0,28.0
26,McDonalds,Premium Crispy Chicken Deluxe Sandwich,530.0,1000.0,13.0,22.0,25.0
27,McDonalds,Quarter PounderÂ® with Cheese,530.0,1090.0,10.0,27.0,31.0
28,McDonalds,Signature Sriracha Burger,670.0,1010.0,13.0,35.0,32.0
29,McDonalds,Grilled Signature Sriracha Chicken Sandwich,560.0,1550.0,14.0,20.0,41.0
30,McDonalds,Crispy Signature Sriracha Chicken Sandwich,730.0,1430.0,13.0,33.0,32.0
31,McDonalds,Sweet BBQ Bacon 1/4 lb Burger,690.0,1310.0,14.0,37.0,38.0
32,McDonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630.0,1930.0,18.0,22.0,48.0
33,McDonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800.0,1820.0,18.0,36.0,39.0
34,McDonalds,3 piece Buttermilk Crispy Chicken Tenders,370.0,910.0,0.0,21.0,28.0
35,McDonalds,4 piece Buttermilk Crispy Chicken Tenders,480.0,1290.0,1.0,28.0,38.0
36,McDonalds,6 piece Buttermilk Crispy Chicken Tenders,760.0,1890.0,1.0,44.0,58.0
37,McDonalds,10 piece Buttermilk Crispy Chicken Tenders,1210.0,3230.0,4.0,70.0,94.0
38,McDonalds,12 piece Buttermilk Crispy Chicken Tenders,1510.0,3770.0,2.0,88.0,115.0
39,McDonalds,20 piece Buttermilk Crispy Chicken Tenders,2430.0,6080.0,3.0,141.0,186.0
40,McDonalds,4 Piece Chicken McNuggets,180.0,340.0,0.0,11.0,10.0
41,McDonalds,6 Piece Chicken McNuggets,270.0,510.0,0.0,16.0,15.0
42,McDonalds,10 Piece Chicken McNuggets,440.0,840.0,0.0,27.0,24.0
43,McDonalds,20 Piece Chicken McNuggets,890.0,1680.0,0.0,53.0,49.0
44,McDonalds,40 piece Chicken McNuggets,1770.0,3370.0,1.0,107.0,98.0
45,McDonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640.0,1780.0,35.0,27.0,39.0
46,McDonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960.0,2670.0,52.0,40.0,58.0
47,McDonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600.0,4450.0,87.0,66.0,97.0
48,McDonalds,Premium Asian Salad w/o Chicken,140.0,20.0,7.0,7.0,7.0
49,McDonalds,Premium Asian Salad w/ Grilled Chicken,270.0,740.0,10.0,9.0,31.0
50,McDonalds,Premium Asian Salad w/ Crispy Chicken,490.0,1120.0,4.0,28.0,33.0
51,McDonalds,Premium Bacon Ranch Salad w/o Chicken,190.0,660.0,3.0,12.0,14.0
52,McDonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320.0,1230.0,4.0,14.0,42.0
53,McDonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490.0,1120.0,4.0,28.0,33.0
54,McDonalds,Premium Southwest Salad w/o Chicken,220.0,500.0,9.0,10.0,8.0
55,McDonalds,Premium Southwest Salad w/ Grilled Chicken,350.0,1070.0,9.0,12.0,37.0
56,McDonalds,Premium Southwest Salad w/ Crispy Chicken,520.0,960.0,9.0,25.0,28.0
57,Chick Fil-A,Chargrilled Chicken Club Sandwich,430.0,1120.0,7.0,16.0,37.0
58,Chick Fil-A,Chargrilled Chicken Sandwich,310.0,820.0,7.0,6.0,29.0
59,Chick Fil-A,Chick-n-Slider,270.0,800.0,4.0,11.0,16.0
60,Chick Fil-A,1 Piece Chick-n-Strips,120.0,320.0,1.0,6.0,11.0
61,Chick Fil-A,2 Piece Chick-n-Strips,230.0,630.0,1.0,12.0,22.0
62,Chick Fil-A,3 Piece Chick-n-Strips,350.0,940.0,3.0,17.0,28.0
63,Chick Fil-A,4 piece Chick-n-Strips,470.0,1250.0,4.0,23.0,37.0
64,Chick Fil-A,Chicken Deluxe,500.0,1590.0,6.0,23.0,31.0
65,Chick Fil-A,4 piece Chicken Nuggets,130.0,490.0,0.0,6.0,14.0
66,Chick Fil-A,6 piece Chicken Nuggets,190.0,730.0,0.0,9.0,21.0
67,Chick Fil-A,8 piece Chicken Nuggets,260.0,990.0,1.0,12.0,28.0
68,Chick Fil-A,12 piece Chicken Nuggets,390.0,1460.0,1.0,18.0,41.0
69,Chick Fil-A,30 piece Chicken Nuggets,970.0,3660.0,1.0,46.0,103.0
70,Chick Fil-A,Chicken Salad Sandwich,490.0,1130.0,12.0,19.0,28.0
71,Chick Fil-A,Chicken Sandwich,440.0,1350.0,5.0,19.0,28.0
72,Chick Fil-A,4 Piece Grilled Chicken Nuggets,70.0,220.0,0.0,2.0,13.0
73,Chick Fil-A,6 Piece Grilled Chicken Nuggets,110.0,330.0,0.0,3.0,19.0
74,Chick Fil-A,8 piece Grilled Chicken Nuggets,140.0,440.0,0.0,4.0,25.0
75,Chick Fil-A,12 Piece Grilled Chicken Nuggets,210.0,670.0,1.0,5.0,38.0
76,Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430.0,1310.0,9.0,12.0,33.0
77,Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450.0,1000.0,10.0,13.0,34.0
78,Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500.0,1200.0,10.0,18.0,33.0
79,Chick Fil-A,Spicy Chicken Sandwich,450.0,1620.0,5.0,19.0,29.0
80,Chick Fil-A,Spicy Deluxe,540.0,1760.0,6.0,25.0,34.0
81,Chick Fil-A,Chargrilled Chicken Cool Wrap,350.0,960.0,3.0,14.0,37.0
82,Chick Fil-A,Chicken Enchiladas Meal Kit,860.0,2520.0,8.0,47.0,39.0
83,Chick Fil-A,Chicken Parmesan Meal Kit,720.0,1780.0,7.0,31.0,48.0
84,Sonic,Hatch Green Chile Cheeseburger,710.0,1120.0,7.0,43.0,35.0
85,Sonic,Jalapeno Burger,640.0,930.0,6.0,37.0,31.0
86,Sonic,Jr. Burger,340.0,640.0,6.0,17.0,15.0
87,Sonic,Jr. Chili Cheeseburger,410.0,730.0,4.0,24.0,20.0
88,Sonic,Jr. Deluxe Burger,380.0,470.0,4.0,23.0,15.0
89,Sonic,Jr. Deluxe Cheeseburger,450.0,800.0,4.0,28.0,19.0
90,Sonic,Jr. Double Cheeseburger,600.0,1350.0,7.0,38.0,31.0
